clinic,city,department,job_title,qualification,pay_grade,pay_text,housing,housing_quote,employment_type,requirements_must,experience_required,confidence,confidence_why,job_url
Arberlandklinik Viechtach,Viechtach,Innere Medizin mit Schwerpunkt Kardiologie & Neurologie (Station 4),Pflegefachmann (m/w/d) Innere Medizin mit Schwerpunkt Kardiologie & Neurologie,pflegefachkraft,P7,"Entgeltgruppe EG P7 TVöD/VKA der Anlage 1 - Allgemeiner Teil, zzgl. attraktiven individuellen Zulagen",nein,,"teilzeit, vollzeit",abgeschlossene Ausbildung zum Pflegefachmann/-frau oder vergleichbarer Berufsabschluss | Schicht- und Wochenendarbeit,,4,Zuordnung aus dem vorherigen Lauf übernommen,https://bewerbung.arberlandkliniken.de/jobposting/9d784876493e251ebe0a8396f3ce8122b86804fc0
Arberlandklinik Viechtach,Viechtach,Gefäß- & Viszeralchirurgie (Station 2),Pflegefachmann/-frau (m/w/d) Gefäß- & Viszeralchirurgie,pflegefachkraft,P7,"Entgeltgruppe EG P7 TVöD/VKA der Anlage 1 - Allgemeiner Teil, zzgl. attraktiven individuellen Zulagen",nein,,"teilzeit, vollzeit",abgeschlossene Ausbildung zum Pflegefachmann oder vergleichbarer Berufsabschluss | Schicht- und Wochenendarbeit,,4,Zuordnung aus dem vorherigen Lauf übernommen,https://bewerbung.arberlandkliniken.de/jobposting/83ef5221a432ab96a5ab3f19e25ca1bc3ea576160
Arberlandklinik Viechtach,Viechtach,Intensivstation,Pflegefachmann/-frau (m/w/d) Intensivstation,fachweiterbildung,P8,"Entgeltgruppe EG P8 bzw. P9 (mit Fachweiterbildung) TVöD/VKA der Anlage 1 - Allgemeiner Teil, zzgl. attraktiven individuellen Zulagen",nein,,"teilzeit, vollzeit",abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger oder Pflegefachmann/-frau | Fachweiterbildung Intensivpflege bzw. Bereitschaft diese zu beginnen,Fachweiterbildung für Intensivpflege bzw. Bereitschaft diese zu beginnen,4,Zuordnung aus dem vorherigen Lauf übernommen,https://bewerbung.arberlandkliniken.de/jobposting/e5ab234b7d9618cc14707e88b7b7f1965059453f0
Arberlandklinik Viechtach,Viechtach,Unfall- & Neurochirurgie (Station 1),Pflegefachmann/-frau (m/w/d) Unfall- & Neurochirurgie,pflegefachkraft,P7,"Entgeltgruppe EG P7 TVöD/VKA der Anlage 1 - Allgemeiner Teil, zzgl. attraktiven individuellen Zulagen",nein,,"teilzeit, vollzeit",abgeschlossene Ausbildung zum Pflegefachmann oder vergleichbarer Berufsabschluss | Schicht- und Wochenendarbeit,,4,Zuordnung aus dem vorherigen Lauf übernommen,https://bewerbung.arberlandkliniken.de/jobposting/253b555592de56d95b9f93f0f362b1a561f420410
Arberlandklinik Viechtach,Viechtach,OP-Pflege,Pflegefachmann/-frau (m/w/d) für die OP-Pflege,pflegefachkraft,P8,"Entgeltgruppe EG P8 TVöD/VKA der Anlage 1 - Allgemeiner Teil, zzgl. attraktiven individuellen Zulagen",nein,,"teilzeit, vollzeit",abgeschlossene Ausbildung zum Gesundheits- und Krankenpfleger oder Operationstechnischen Assistenten oder vergleichbarer Berufsabschluss | Schicht- und Wochenendarbeit,,4,Klinik nach Anzeigenort korrigiert,https://bewerbung.arberlandkliniken.de/jobposting/23cc4e848a56363bbb358743afe77b455a7560ef0
Arberlandklinik Viechtach,Viechtach,Springerpool (chirurgische und internistische Stationen),Pflegefachmann/-frau (m/w/d) für unseren Springerpool,pflegefachkraft,,"Entgeltgruppe EG 7 TVöD/VKA der Anlage 1 - Allgemeiner Teil, zzgl. attraktiven individuellen Zulagen; 1.200 € als monatliche Zusatzzahlung zum Vollzeitgehalt oder wahlweise 75 % Arbeitszeit mit Vollzeit-Verdienst",nein,,"teilzeit, vollzeit",abgeschlossene Ausbildung zum Gesundheits- und Krankenpfleger oder vergleichbarer Berufsabschluss | mind. zweijährige Berufserfahrung | Schicht- und Wochenendarbeit,Mindestens zweijährige Berufserfahrung,4,Klinik nach Anzeigenort korrigiert,https://bewerbung.arberlandkliniken.de/jobposting/9d1c0c06b71c36a62a80d6a5941b74664c9be64d0
Artemed Fachklinik München,München,Pflegedienst / Station,Dauernachtwache (m/w/d),pflegefachkraft,,,ja,Vorübergehendes WG-Zimmer Angebot,Full-time; Teilzeitmöglichkeit; Unbefristet,"erfolgreich abgeschlossene Berufsausbildung als Gesundheits- und Krankenpfleger*in, Pflegefachmann*frau, Altenpfleger*in",,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://jobs.smartrecruiters.com/ArtemedSE/744000087659729-dauernachtwache-m-w-d-
Artemed Fachklinik München,München,Anästhesiepflege,"Fachkrankenpfleger Anästhesie, ATA oder Gesundheits- und Krankenpfleger mit Vorerfahrung für die Anästhesiepflege (m/w/d)",fachweiterbildung,,,ja,,vollzeit_teilzeit,Sie verfügen über eine abgeschlossene Berufsausbildung in einem der o.g. Berufe | und über erste einschlägige Berufserfahrung im Bereich Anästhesie/ Notfallmedizin/ Intensivmedizin. | Sie zeichnen sich durch ein hohes Maß an Zuverlässigkeit und Verantwortungsbewusstsein aus. | Eine ausgeprägte Patientenorientierung und ein wertschätzender und hilfsbereiter Umgang mit Ihren Kollegen ist für Sie selbstverständlich.,über erste einschlägige Berufserfahrung im Bereich Anästhesie/ Notfallmedizin/ Intensivmedizin,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt · housing_quote auf der Seite nicht gefunden, geleert",https://api.smartrecruiters.com/v1/companies/ArtemedSE/postings/744000087662008
Artemed Fachklinik München,München,Anästhesiepflege / Funktionsdienst,"Fachkrankenpfleger Anästhesie, ATA oder Gesundheits- und Krankenpfleger mit Vorerfahrung für die Anästhesiepflege (m/w/d)",fachweiterbildung,,,unklar,,Full-time; Teilzeitmöglichkeit; Unbefristet,abgeschlossene Berufsausbildung in einem der o.g. Berufe,erste einschlägige Berufserfahrung im Bereich Anästhesie/ Notfallmedizin/ Intensivmedizin,2,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt; keine Belegzitate,https://jobs.smartrecruiters.com/ArtemedSE/744000087662008-fachkrankenpfleger-anasthesie-ata-oder-gesundheits-und-krankenpfleger-mit-vorerfahrung-fur-die-anasthesiepflege-m-w-d-
Artemed Fachklinik München,München,Intensivpflege,Gesundheits- und Krankenpfleger oder Fachkrankenpfleger (m/w/d),fachweiterbildung,,,unklar,,,"Abgeschlossene Ausbildung zum Gesundheits- und Krankenpfleger (m/w/d) | Fachweiterbildung Intensiv und Anästhesie wünschenswert | Fundierte Berufserfahrung in der Intensivpflege | Hohes Maß an Verantwortungsbereitschaft, Flexibilität und Engagement | Ausgeprägte soziale Kompetenz und Teamfähigkeit | Einfühlungsvermögen im Umgang mit den Patient*innen | Bereitschaft zur Teilnahme am Bereitschafts-/Rufdienst",Fundierte Berufserfahrung in der Intensivpflege,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://api.smartrecruiters.com/v1/companies/ArtemedSE/postings/744000141897929
Artemed Fachklinik München,München,,Gesundheits- und Krankenpfleger/-in oder Altenpfleger/-in für den Tagdienst,pflegefachkraft,,,ja,,vollzeit_teilzeit,Sie verfügen über eine abgeschlossene Ausbildung zum/-r Gesundheits- und Krankenpfleger/-in oder Altenpfleger/-in und idealerweise über erste Berufserfahrung. | Sie zeichnen sich durch ein hohes Maß an Zuverlässigkeit und Verantwortungsbewusstsein aus. | Eine ausgeprägte Patientenorientierung und ein wertschätzender und hilfsbereiter Umgang mit Ihren Kollegen ist für Sie selbstverständlich.,idealerweise über erste Berufserfahrung,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt · housing_quote auf der Seite nicht gefunden, geleert",https://api.smartrecruiters.com/v1/companies/ArtemedSE/postings/744000073503905
Artemed Fachklinik München,München,Pflegedienst / Station (Tagdienst),Gesundheits- und Krankenpfleger/-in oder Altenpfleger/-in für den Tagdienst,pflegefachkraft,,,unklar,,Full-time; Teilzeitmöglichkeit; Unbefristet,abgeschlossene Ausbildung zum/-r Gesundheits- und Krankenpfleger/-in oder Altenpfleger/-in,idealerweise erste Berufserfahrung,2,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt; keine Belegzitate,https://jobs.smartrecruiters.com/ArtemedSE/744000073503905-gesundheits-und-krankenpfleger-in-oder-altenpfleger-in-fur-den-tagdienst
Artemed Fachklinik München,München,OP,Operationstechnischer Assistent (OTA),ota_ata,,,unklar,,,"Abgeschlossene Ausbildung zum Operationstechnischen Assistenten / Abgeschlossene Ausbildung zum Gesundheits- und Krankenpfleger mit&#xa0;&#xa0; | Fachweiterbildung OP&#xa0; | Fundierte Berufserfahrung im OP | Hohes Maß an Verantwortungsbereitschaft, Flexibilität und Engagement | Ausgeprägte soziale Kompetenz und Teamfähigkeit | Einfühlungsvermögen im Umgang mit den Patient*innen | Bereitschaft zur Teilnahme am Bereitschafts-/Rufdienst",Fundierte Berufserfahrung im OP,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://api.smartrecruiters.com/v1/companies/ArtemedSE/postings/744000144698185
Artemed Fachklinik München,München,OP-Bereich,Operationstechnischer Assistent oder Gesundheits- und Krankenpfleger für den OP-Bereich im Tagdienst (Mo-Fr) (m/w/d),ota_ata,,,ja,,vollzeit_teilzeit,Sie verfügen über eine abgeschlossene Berufsausbildung im medizinischen Bereich. | Vorzugsweise als Operationstechnischer Assistent (OTA) oder Gesundheits- und Krankenpfleger (GUK). | Sie zeichnen sich durch ein hohes Maß an Zuverlässigkeit und Verantwortungsbewusstsein aus. | Eine ausgeprägte Patientenorientierung und ein wertschätzender Umgang mit Ihren Kollegen ist für Sie selbstverständlich.,,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt · housing_quote auf der Seite nicht gefunden, geleert",https://api.smartrecruiters.com/v1/companies/ArtemedSE/postings/744000077960059
Artemed Fachklinik München,München,OP-Bereich / Funktionsdienst,Operationstechnischer Assistent oder Gesundheits- und Krankenpfleger für den OP-Bereich im Tagdienst (Mo-Fr) (m/w/d),ota_ata,,,unklar,,Full-time; Teilzeitmöglichkeit; Unbefristet,"abgeschlossene Berufsausbildung im medizinischen Bereich, vorzugsweise OTA oder Gesundheits- und Krankenpfleger (GUK)",,2,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt; keine Belegzitate,https://jobs.smartrecruiters.com/ArtemedSE/744000077960059-operationstechnischer-assistent-oder-gesundheits-und-krankenpfleger-fur-den-op-bereich-im-tagdienst-mo-fr-m-w-d-
Artemed Fachklinik München,München,,Pflegefachkraft (w/m/d),pflegefachkraft,,,unklar,,vollzeit_teilzeit,"abgeschlossene Berufsausbildung (Pflegefachkraft oder Gesundheits- und Krankenpfleger) | patientenorientiertes Denken und Arbeiten | ein hohes Maß an Verantwortungsbereitschaft, Flexibilität, Engagement | Eigeninitiative, Teamfähigkeit und Kommunikationsstärke",,3,"Klinik über Stadt, nicht über Portal; Ort der Stelle nicht belegt",https://api.smartrecruiters.com/v1/companies/ArtemedSE/postings/744000144701529
Artemed Klinikum München Süd,München,Intensivpflege,Gesundheits- und Krankenpfleger oder Fachkrankenpfleger (m/w/d),fachweiterbildung,,"""Mitarbeiter werben Mitarbeiter""-Prämie* bis zu 2.000 EUR brutto",nein,,Vollzeit; Teilzeitmöglichkeit; Unbefristet,Abgeschlossene Ausbildung zum Gesundheits- und Krankenpfleger (m/w/d),Fundierte Berufserfahrung in der Intensivpflege; Fachweiterbildung Intensiv und Anästhesie wünschenswert,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://jobs.smartrecruiters.com/ArtemedSE/744000141897929-gesundheits-und-krankenpfleger-oder-fachkrankenpfleger-m-w-d-
Asklepios Klinikum Bad Abbach,Bad Abbach,Anästhesie und IMC,Pflegefachkraft (w/m/d) für Anästhesie und Intensivmedizin,fachweiterbildung,,,unklar,,vollzeit_teilzeit,"Sie haben eine abgeschlossene Ausbildung als Pflegefachmann (w/m/d) oder Gesundheits- und Krankenpfleger (w/m/d) | Idealerweise haben Sie die Fachweiterbildung für Anästhesie und/oder Intensivmedizin absolviert | Sie verfügen über fundierte Kenntnisse und praktische Erfahrungen in der Pflege und in der Anästhesie | Sie sind in der Lage selbständig, strukturiert, nachhaltig und teamorientiert zu arbeiten | Sie behalten auch in hektischen Situationen die nötige Ruhe und den Überblick | die Bereitschaft zur kooperativen, ergebnisorientierten Zusammenarbeit mit anderen Berufsgruppen ist für Sie selbstverständlich | Sie sind motiviert und interessiert den Bereich positiv mitzugestalten und weiterzuentwickeln",,5,,https://karriere.asklepios.com/Pflegefachkraft-wmd-fuer-Anaesthesie-und-Intensivmedizin-de-j25622.html
Asklepios Klinikum Bad Abbach,Bad Abbach,Anästhesie und Intensivmedizin,Pflegefachkraft (w/m/d) für Anästhesie und Intensivmedizin,pflegefachkraft,,,nein,,in Voll- oder Teilzeit,abgeschlossene Ausbildung als Pflegefachmann (w/m/d) oder Gesundheits- und Krankenpfleger (w/m/d),Idealerweise Fachweiterbildung für Anästhesie und/oder Intensivmedizin,3,"Zuordnung aus dem vorherigen Lauf übernommen; keine Belegzitate · pay_text auf der Seite nicht gefunden, geleert",https://karriere.asklepios.com/pflegefachkraft-wmd-fuer-anaesthesie-und-intensivmedizin-de-j25622.html
Asklepios Klinikum Bad Abbach,Bad Abbach,ASV Rheuma,Pflegefachkraft ASV Rheuma (w/m/d),pflegefachkraft,,,unklar,,vollzeit_teilzeit,"Sie sind examinierte Pflegefachkraft (w/m/d) | Sie verfügen über EDV-Kenntnisse | Für Sie sind der sensible Umgang mit Patienten:innen und Angehörigen sowie ein sicheres und freundliches Auftreten selbstverständlich | Sie arbeiten gern kooperativ mit anderen Berufsgruppen im Krankenhaus zusammen | Sie sind serviceorientiert, flexibel und belastbar",,5,,https://karriere.asklepios.com/Pflegefachkraft-ASV-Rheuma-wmd-de-j27829.html
Asklepios Klinikum Bad Abbach,Bad Abbach,ASV Rheuma,Pflegefachkraft ASV Rheuma (w/m/d),pflegefachkraft,,,nein,,Voll/Teilzeit,examinierte Pflegefachkraft (w/m/d),,3,Zuordnung aus dem vorherigen Lauf übernommen; keine Belegzitate,https://karriere.asklepios.com/pflegefachkraft-asv-rheuma-wmd-de-j27829.html
Asklepios Klinikum Bad Abbach,Bad Abbach,Aufnahmestation,Pflegefachkraft Aufnahmestation (w/m/d),pflegefachkraft,,,unklar,,vollzeit_teilzeit,"Sie sind examinierte Pflegefachkraft (w/m/d) | Sie verfügen über EDV-Kenntnisse | Sie sind eine verantwortungsbewusste, belastbare Persönlichkeit | für Sie sind der sensible Umgang mit Patient:innen und Angehörigen sowie ein sicheres und freundliches Auftreten selbstverständlich | Sie arbeiten gern kooperativ mit anderen Berufsgruppen im Krankenhaus zusammen | Sie sind serviceorientiert, flexibel und suchen eine neue Herausforderung",,5,,https://karriere.asklepios.com/Pflegefachkraft-Aufnahmestation-wmd-de-j27828.html
Asklepios Klinikum Bad Abbach,Bad Abbach,Aufnahmestation,Pflegefachkraft Aufnahmestation (w/m/d),pflegefachkraft,,,nein,,Voll/Teilzeit,examinierte Pflegefachkraft (w/m/d),,3,Zuordnung aus dem vorherigen Lauf übernommen; keine Belegzitate,https://karriere.asklepios.com/pflegefachkraft-aufnahmestation-wmd-de-j27828.html
Asklepios Klinikum Bad Abbach,Bad Abbach,Notaufnahme,Pflegefachkraft Notaufnahme (w/m/d),pflegefachkraft,,,unklar,,vollzeit_teilzeit,"Abgeschlossene Ausbildung als Pflegefachkraft (w/m/d) | Idealerweise Zusatzqualifikation im Bereich Notfallpflege | Berufserfahrung in der Notaufnahme, Intensivpflege oder Anästhesie von Vorteil | Hohe Belastbarkeit, schnelle Auffassungsgabe und ausgeprägte Teamfähigkeit | Sicherer Umgang mit Notfallsituationen und hoher emotionaler Kompetenz | Bereitschaft zum Schichtdienst","Berufserfahrung in der Notaufnahme, Intensivpflege oder Anästhesie von Vorteil",5,,https://karriere.asklepios.com/Pflegefachkraft-Notaufnahme-wmd-de-j27075.html
Asklepios Klinikum Bad Abbach,Bad Abbach,Notaufnahme,Pflegefachkraft Notaufnahme (w/m/d),pflegefachkraft,,,nein,,in Voll- oder Teilzeit (mind. 20Std./Woche),Abgeschlossene Ausbildung als Pflegefachkraft (w/m/d),"Berufserfahrung in der Notaufnahme, Intensivpflege oder Anästhesie von Vorteil",3,"Zuordnung aus dem vorherigen Lauf übernommen; keine Belegzitate · pay_text auf der Seite nicht gefunden, geleert",https://karriere.asklepios.com/pflegefachkraft-notaufnahme-wmd-de-j27075.html
Asklepios Lungenklinik Gauting,Gauting,Anästhesie,ATA oder Pflegefachkraft (w/m/d) mit Fachweiterbildung Anästhesie,fachweiterbildung,,"Vergütung nach Landesverbandstarifvertrag des VPKA Bayern , inkl. Jahressonderzahlung sowie Gewinnbeteiligung am Klinikergebnis (bis zu 13,2 Gehälter) sowie arbeitgeberfinanzierte Betriebsrente",ja,Klinikeigener Wohnraum (je nach Verfügbarkeit),vollzeit_teilzeit,"Eine abgeschlossene Berufsausbildung als Anästhesietechnischer Assistent, GKP oder Pflegefachfrau/Pflegefachmann mit Fachweiterbildung Anästhesie | Bereitschaft zu weiteren Fort- und Weiterbildungen | Bereitschaft an der Teilnahme von Rufbereitschaftsdiensten | Gute Kenntnisse im Umgang mit MS Office | Flexibilität, Belastbarkeit, Durchhaltevermögen, Verbindlichkeit, Team- und Motivationsfähigkeit | Bereitschaft zur interdisziplinären und berufsgruppenübergreifenden Zusammenarbeit | Soziale Kompetenz",,5,,https://karriere.asklepios.com/ATA-oder-Pflegefachkraft-wmd-mit-Fachweiterbildung-Anaesth-de-j25088.html
Asklepios Lungenklinik Gauting,Gauting,,Advanced Practice Nurse (w/m/d),pflegefachkraft,,"Vergütung nach Landesverbandtarifvertrag des VPKA Bayern, inkl. Jahressonderzahlung sowie Gewinnbeteiligung am Klinikergebnis (bis zu 13,2 Gehälter) und eine arbeitgeberfinanzierte Betriebsrente",ja,Klinikeigener Wohnraum (je nach Verfügbarkeit),vollzeit_teilzeit,"Abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger, Pflegefachfrau /-mann mit abgeschlossenem Studium im Bereich der Pflege | Fähigkeit zum eigenständigen und innovativen Arbeiten | Offenheit für neue Strukturen und Prozessoptimierung | Engagement für die Weiterentwicklung der pflegerischen und interprofessionellen Versorgung | Flexibilität, Belastbarkeit, Durchhaltevermögen, Verbindlichkeit, Team- und Motivationsfähigkeit | Sozial- und Fachkompetenz | Interesse an Fort- und Weiterbildungen",,5,,https://karriere.asklepios.com/Advanced-Practice-Nurse-wmd-de-j19242.html
